,Topic,Count,Name
0,-1,241,-1_the_to_on_for
1,0,145,0_the_in_biden_of
2,1,91,1_we_the_to_and
3,2,65,2_covid_its_michigan_the
4,3,44,3_you_of_have_vaccinated
5,4,41,4_fauci_trump_dr_anthony
6,5,33,5_from_unvaccinated_are_to
7,6,32,6_he_his_son_had
8,7,29,7_city_mandate_employees_customers
9,8,29,8_of_pandemic_lowest_cases
10,9,28,9_fox_articles_listen_news
11,10,27,10_masks_arkansas_mandate_vaccine
12,11,25,11_embed_employees_yo_videos
13,12,23,12_about_dose_your_vaccinated
14,13,22,13_school_masks_mask_require
15,14,22,14_dies_her_after_died
16,15,22,15_cdc_centers_prevention_control
17,16,21,16_youtube_troops_defense_sailors
18,17,21,17_children_saints_ottawa_latter
19,18,21,18_pfizer_vaccine_ages_fda
20,19,20,19_biden_president_joe_relief
21,20,18,20_michigan_are_molly_festival
22,21,18,21_johnsonjohnson_vaccine_shot_moderna
23,22,17,22_schools_teachers_union_allegations
24,23,17,23_pandemic_store_incidents_more
25,24,17,24_likelihood_health_variant_delta
26,25,17,25_americans_fauci_strain_the
27,26,17,26_yogi_term_church_government
28,27,17,27_astrazeneca_vaccine_oxford_developed
29,28,16,28_transcript_hide_show_fame
30,29,15,29_cases_surge_the_coronavirus
31,30,15,30_wealth_tax_rich_warren
32,31,15,31_house_fall_positive_cobb
33,32,14,32_hospitals_dubai_freezer_tracking
34,33,14,33_india_parade_oxygen_day
35,34,14,34_democrats_lee_relief_tennessee
36,35,14,35_article_outdated_archived_stamp
37,36,14,36_zoo_band_offspring_gorillas
38,37,14,37_she_where_we_areas
39,38,14,38_prevention_disease_centers_control
40,39,13,39_navy_pfizer_vaccine_death
41,40,13,40_desantis_florida_ron_gov
42,41,13,41_judge_court_husband_ruled
43,42,13,42_protest_against_hospital_firefighters
44,43,13,43_consultations_selling_vaccination_network
45,44,12,44_farmstead_peppers_junk_will
46,45,12,45_biden_joe_man_about
47,46,12,46_cov_sars_study_ear
48,47,12,47_rogan_ivermectin_he_elliott
49,48,12,48_cruz_cedric_richmond_ted
50,49,11,49_dimensions_of_universe_torn
51,50,11,50_court_appeals_mandate_federal
52,51,11,51_variant_delta_pregnant_alarm
53,52,11,52_his_texas_biden_president
54,53,11,53_aaron_rodgers_file_packers
55,54,11,54_reopen_california_disneyland_capacity
56,55,10,55_pederson_grounded_base_positive
